No --seed given; using freshly-generated seed=769518776 (saved to runs/gemini-2.5-flash/run_meta.json -- pass --seed 769518776 to reproduce, or just resume against this same --out-dir).
[45/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=4 -- ok
[46/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=7 -- ok
[47/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=8 -- ok
[48/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=5 -- ok
[49/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=6 -- ok
[50/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=9 -- ok
[51/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=1 -- ok
[52/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=2 -- ok
[53/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=4 -- ok
[54/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=0 -- ok
[55/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=5 -- ok
[56/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=3 -- ok
[57/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=7 -- ok
[58/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=1 -- ok
[59/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=9 -- ok
[60/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=8 -- ok
[61/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=2 -- ok
[62/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=0 -- ok
[63/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=4 -- ok
[64/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=5 -- ok
[65/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=3 -- ok
[66/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=6 -- ok
[67/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=0 -- ok
[68/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=1 -- ok
[69/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=6 -- ok
[70/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=7 -- ok
[71/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=9 -- ok
[72/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=8 -- ok
[73/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=7 -- ok
[74/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=5 -- ok
[75/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=2 -- ok
[76/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=6 -- ok
[77/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=4 -- ok
[78/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=3 -- ok
[79/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=1 -- ok
[80/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=9 -- ok
[81/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=2 -- ok
[82/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=story persona_context=same rep=8 -- ok
[83/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=4 -- ok
[84/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=6 -- ok
[85/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=3 -- ok
[86/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=0 -- ok
[87/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=7 -- ok
[88/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=8 -- ok
[89/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=0 -- ok
[90/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=5 -- ok
[91/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=1 -- ok
[92/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=2 -- ok
[93/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=literal persona_context=same rep=9 -- ok
[94/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=5 -- ok
[95/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=6 -- ok
[96/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=8 -- ok
[97/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=4 -- ok
[98/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=3 -- ok
[99/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=0 -- ok
[100/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=9 -- ok
[101/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=2 -- ok
[102/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=5 -- ok
[103/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cooperator framing=story persona_context=same rep=7 -- ok
[104/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=1 -- ok
[105/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=4 -- ok
[106/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=7 -- ok
[107/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=9 -- ok
[108/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=3 -- ok
[109/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=8 -- ok
[110/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=literal persona_context=same rep=6 -- ok
[111/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=0 -- ok
[112/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=2 -- ok
[113/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=3 -- ok
[114/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=6 -- ok
[115/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=1 -- ok
[116/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=9 -- ok
[117/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=4 -- ok
[118/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=7 -- ok
[119/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=0 -- ok
[120/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=5 -- ok
[121/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=cheater framing=story persona_context=same rep=8 -- ok
[122/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=1 -- ok
[123/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=5 -- ok
[124/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=4 -- ok
[125/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=3 -- ok
[126/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=9 -- ok
[127/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=8 -- ok
[128/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=7 -- ok
[129/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=2 -- ok
[130/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=3 -- ok
[131/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=1 -- ok
[132/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=0 -- ok
[133/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=2 -- ok
[134/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=5 -- ok
[135/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=4 -- ok
[136/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=7 -- ok
[137/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=8 -- ok
[138/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=6 -- ok
[139/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=1 -- ok
[140/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=0 -- ok
[141/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=3 -- ok
[142/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=story persona_context=same rep=9 -- ok
[143/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=4 -- ok
[144/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=5 -- ok
[145/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=2 -- ok
[146/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=6 -- ok
[147/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=copycat framing=literal persona_context=same rep=6 -- ok
[148/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=7 -- ok
[149/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=9 -- ok
[150/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=1 -- ok
[151/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=2 -- ok
[152/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=5 -- ok
[153/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=6 -- ok
[154/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=7 -- ok
[155/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=4 -- ok
[156/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=3 -- ok
[157/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=9 -- ok
[158/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=literal persona_context=same rep=8 -- ok
[159/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=0 -- ok
[160/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=0 -- ok
[161/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=1 -- ok
[162/400 pending, 400 total] model=google/gemini-2.5-flash persona=bard opponent=detective framing=story persona_context=same rep=8 -- ok
[163/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=3 -- ok
[164/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=5 -- ok
[165/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=2 -- ok
[166/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=4 -- ok
[167/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=9 -- ok
[168/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=6 -- ok
[169/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=7 -- ok
[170/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=2 -- ok
[171/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=0 -- ok
[172/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=literal persona_context=same rep=8 -- ok
[173/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=1 -- ok
[174/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=3 -- ok
[175/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=7 -- ok
[176/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=5 -- ok
[177/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=8 -- ok
[178/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=0 -- ok
[179/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=1 -- ok
[180/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=6 -- ok
[181/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=9 -- ok
[182/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=2 -- ok
[183/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=4 -- ok
[184/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=3 -- ok
[185/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=5 -- ok
[186/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=6 -- ok
[187/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cooperator framing=story persona_context=same rep=4 -- ok
[188/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=7 -- ok
[189/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=9 -- ok
[190/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=0 -- ok
[191/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=4 -- ok
[192/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=literal persona_context=same rep=8 -- ok
[193/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=1 -- ok
[194/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=3 -- ok
[195/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=6 -- ok
[196/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=2 -- ok
[197/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=5 -- ok
[198/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=7 -- ok
[199/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=8 -- ok
[200/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=2 -- ok
[201/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=cheater framing=story persona_context=same rep=9 -- ok
[202/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=4 -- ok
[203/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=3 -- ok
[204/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=1 -- ok
[205/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=0 -- ok
[206/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=7 -- ok
[207/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=5 -- ok
[208/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=6 -- ok
[209/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=0 -- ok
[210/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=9 -- ok
[211/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=literal persona_context=same rep=8 -- ok
[212/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=2 -- ok
[213/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=1 -- ok
[214/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=4 -- ok
[215/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=7 -- ok
[216/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=6 -- ok
[217/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=3 -- ok
[218/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=9 -- ok
[219/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=5 -- ok
[220/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=copycat framing=story persona_context=same rep=8 -- ok
[221/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=0 -- ok
[222/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=1 -- ok
[223/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=2 -- ok
[224/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=5 -- ok
[225/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=6 -- ok
[226/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=3 -- ok
[227/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=7 -- ok
[228/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=4 -- ok
[229/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=1 -- ok
