No --seed given; using freshly-generated seed=1202305597 (saved to runs/qwen3-8b/run_meta.json -- pass --seed 1202305597 to reproduce, or just resume against this same --out-dir).
[26/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=9 -- ok
[27/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=6 -- ok
[28/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=8 -- ok
[29/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=1 -- ok
[30/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=9 -- ok
[31/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=0 -- ok
[32/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=4 -- ok
[33/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=2 -- ok
[34/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=3 -- ok
[35/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=4 -- ok
[36/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=6 -- ok
[37/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=8 -- ok
[38/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=9 -- ok
[39/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=7 -- ok
[40/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=5 -- ok
[41/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=0 -- ok
[42/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=2 -- ok
[43/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=3 -- ok
[44/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=4 -- ok
[45/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=5 -- ok
[46/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=7 -- ok
[47/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=1 -- ok
[48/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=1 -- API error
[49/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=3 -- API error
[50/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=4 -- API error
[51/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=9 -- API error
[52/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=5 -- API error
[53/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=6 -- API error
[54/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=7 -- API error
[55/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=8 -- API error
[56/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=9 -- API error
[57/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=0 -- API error
[58/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=2 -- API error
[59/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=3 -- API error
[60/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=1 -- API error
[61/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=4 -- API error
[62/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=6 -- API error
[63/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=5 -- API error
[64/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=8 -- API error
[65/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=7 -- API error
[66/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=0 -- API error
[67/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=1 -- API error
[68/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=9 -- API error
[69/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=2 -- API error
[70/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=3 -- API error
[71/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=4 -- API error
[72/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=5 -- API error
[73/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=6 -- API error
[74/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=7 -- API error
[75/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=9 -- API error
[76/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=8 -- API error
[77/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=0 -- API error
[78/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=1 -- API error
[79/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=2 -- API error
[80/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=3 -- API error
[81/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=4 -- API error
[82/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=5 -- API error
[83/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=6 -- API error
[84/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=7 -- API error
[85/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=8 -- API error
[86/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=9 -- API error
[87/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=0 -- API error
[88/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=1 -- API error
[89/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=2 -- API error
[90/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=0 -- API error
[91/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=3 -- API error
[92/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=4 -- API error
[93/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=5 -- API error
[94/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=6 -- API error
[95/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=7 -- API error
[96/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=8 -- API error
[97/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=9 -- API error
[98/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=0 -- API error
[99/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=1 -- API error
[100/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=2 -- API error
[101/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=3 -- API error
[102/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=4 -- API error
[103/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=5 -- API error
[104/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=6 -- API error
[105/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=7 -- API error
[106/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=8 -- API error
[107/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=9 -- API error
[108/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=0 -- API error
[109/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=1 -- API error
[110/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=2 -- API error
[111/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=3 -- API error
[112/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=2 -- API error
[113/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=4 -- API error
[114/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=5 -- API error
[115/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=6 -- API error
[116/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=7 -- API error
[117/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=8 -- API error
[118/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=9 -- API error
[119/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=0 -- API error
[120/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=1 -- API error
[121/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=2 -- API error
[122/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=3 -- API error
[123/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=4 -- API error
[124/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=5 -- API error
[125/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=6 -- API error
[126/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=7 -- API error
[127/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=8 -- API error
[128/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=9 -- API error
[129/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=0 -- API error
[130/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=1 -- API error
[131/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=2 -- API error
[132/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=3 -- API error
[133/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=4 -- API error
[134/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=5 -- API error
[135/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=6 -- API error
[136/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=7 -- API error
[137/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=8 -- API error
[138/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=9 -- API error
[139/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=0 -- API error
[140/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=1 -- API error
[141/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=2 -- API error
[142/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=3 -- API error
[143/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=4 -- API error
[144/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=5 -- API error
[145/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=6 -- API error
[146/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=7 -- API error
[147/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=8 -- API error
[148/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=9 -- API error
[149/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=0 -- API error
[150/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=1 -- API error
[151/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=2 -- API error
[152/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=3 -- API error
[153/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=8 -- API error
[154/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=4 -- API error
[155/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=5 -- API error
[156/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=6 -- API error
[157/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=7 -- API error
[158/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=8 -- API error
[159/400 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=9 -- API error
[160/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=0 -- API error
[161/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=1 -- API error
[162/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=2 -- API error
[163/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=3 -- API error
[164/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=4 -- API error
[165/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=5 -- API error
[166/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=6 -- API error
[167/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=7 -- API error
[168/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=8 -- API error
[169/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=9 -- API error
[170/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=0 -- API error
[171/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=1 -- API error
[172/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=2 -- API error
[173/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=3 -- API error
[174/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=4 -- API error
[175/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=5 -- API error
[176/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=6 -- API error
[177/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=7 -- API error
[178/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=8 -- API error
[179/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=9 -- API error
[180/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=0 -- API error
[181/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=1 -- API error
[182/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=2 -- API error
[183/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=3 -- API error
[184/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=4 -- API error
[185/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=5 -- API error
[186/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=6 -- API error
[187/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=6 -- API error
[188/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=7 -- API error
[189/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=8 -- API error
[190/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=9 -- API error
[191/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=0 -- API error
[192/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=1 -- API error
[193/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=2 -- API error
[194/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=3 -- API error
[195/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=4 -- API error
[196/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=5 -- API error
[197/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=6 -- API error
[198/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=7 -- API error
[199/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=8 -- API error
[200/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=9 -- API error
[201/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=0 -- API error
[202/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=1 -- API error
[203/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=2 -- API error
[204/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=3 -- API error
[205/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=4 -- API error
[206/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=5 -- API error
[207/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=6 -- API error
[208/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=7 -- API error
[209/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=8 -- API error
[210/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=9 -- API error
[211/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=0 -- API error
[212/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=1 -- API error
[213/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=2 -- API error
[214/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=3 -- API error
[215/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=4 -- API error
[216/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=5 -- API error
[217/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=6 -- API error
[218/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=7 -- API error
[219/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=8 -- API error
[220/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=9 -- API error
[221/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=0 -- API error
[222/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=1 -- API error
[223/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=2 -- API error
[224/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=3 -- API error
[225/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=4 -- API error
[226/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=5 -- API error
[227/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=6 -- API error
[228/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=7 -- API error
[229/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=8 -- API error
[230/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=9 -- API error
[231/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=story persona_context=same rep=0 -- API error
[232/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=story persona_context=same rep=1 -- API error
[233/400 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=story persona_context=same rep=2 -- API error
